Russian,English
бывать,visit
данный,the
рука,hand
компания,company
мама,Mother
дума,thought
многий,many
американец,American
пройти,pass
вести,lead
бюджет,budget
военный,military
во-первых,Firstly
бог,God
депутат,deputy
выбор,choice
перед,before
рынок,market
менее,less
спрашивать,ask
помогать,to
месяц,month
пусть,let
угу,yes
действие,action
счет,check
скорый,ambulance
купить,buy
пример,example
смочь,be
порядок,order
средство,means
хоть,though
вместе,together
орган,organ
отвечать,reply
немножко,a
естественно,naturally
внимание,attention
цена,price
рабочий,worker
суд,court
играть,play
точно,exactly
кроме,except
вроде,like
час,hour
местный,local
находиться,be
бояться,afraid
выступать,protrude
советский,Soviet
гражданин,citizen
третий,third
пытаться,try
пять,five
практически,practically
реформа,reform
что-нибудь,anything
оставаться,stay
общественный,public
сюда,here
процесс,process
регион,region
проходить,pass
становиться,become
находить,find
конкретный,specific
интересно,Interesting
ой,Ouch
пора,it's
Сергей,Sergey
выйти,go
появиться,to
мужчина,man
какой-нибудь,some
обсуждать,discuss
также,Also
трудно,difficult
средний,average
сегодняшний,today's
машина,car
наверно,maybe
готовый,ready
выходить,go
совет,advice
поехать,go
давно,for
речь,speech
единственный,the
старый,old
причина,cause
причем,and
часто,often
решить,decide
верить,believe
выбирать,choose
пенсия,institute
институт,news
новость,leave
уйти,Iraq
Ирак,project
проект,say
скажем,going
собираться,find
найти,fund
фонд,thin
худой,huge
огромный,communist
коммунист,queue
очередь,almost
почти,especially
особенно,so
чтоб,large
крупный,pensioner
пенсионер,help
помощь,study
учиться,leave
уходить,oil
нефть,before
прежде,buy
покупать,right
правый,put
ставить,future
будущее,path
путь,ten
десять,quality
качество,this
сей,drive
ехать,cost
стоить,father
отец,specifically
конкретно,four
четыре,territory
территория,rich
богатый,Maybe
может,wait
ждать,Europe
Европа,moderator
модератор,structure
структура,Sometimes
иногда,broadcast
передача,Guys
ребята,return
вернуться,form
форма,learn
учить,student
студент,song
песня,see
увидеть,where
откуда,water
вода,Ivan
Иван,company
предприятие,center
центр,say
говориться,minute
минута,vice
наоборот,struggle
борьба,no
никак,Liberty
свобода,option
вариант,approximately
примерно,degree
степень,candidate
кандидат,start
начаться,dad
папа,straight
прямой,feeling
чувство,extreme
крайний,area
район,document
документ,ask
просить,some
некий,different
иной,other
прочий,black
черный,hope
надеяться,accept
принять,fact
факт,answer
ответ,federation
федерация,state
состояние,put
поставить,arrange
устраивать,sell
продавать,the
наука,change
менять,church
церковь,constantly
постоянно,directly
прямо,feel
чувствовать,anyone
кто-нибудь,Kind
добрый,to
ко,the
основа,Zhirinovsky
Жириновский,proper
собственно,convert
обращать,grab
хватать,and
ж,understandable
понятный,world
мировой,Honestly
честно,above
над,twenty
двадцать,official
чиновник,purely
чисто,type
тип,participate
участвовать,light
свет,please
понравиться,all
вдруг,row
ряд,enter
входить,weight
масса,act
действовать,USA
США,American
американский,rating
рейтинг,many
многие,apparently
видимо,period
период,scary
страшный,talk
поговорить,lift
поднимать,term
срок,constitution
конституция,short
короткий,Moscow
московский,income
доход,article
статья,mother
мать,recall
вспомнить,be
уметь,search
искать,Houses
дома,room
комната,try
стараться,well
курс,Ukraine
украина,participation
участие,experience
опыт,minister
министр,a
игра,private
частный,Brother
брат,recall
вспоминать,judge
судить,basic
основное,it
видно,ministry
министерство,son
сын,sphere
сфера,give
отдавать,concept
понятие,Che
Че,financial
финансовый,build
построить,Name
имя,otherwise
иначе,CPRF
КПРФ,international
международный,gather
собирать,work
труд,drive
приводить,China
Китай,recently
недавно,Victor
Виктор,sensation
ощущение,explain
объяснять,mister
господин,own
собственный,motherland
родина,Boris
Борис,flow
течение,responsibility
ответственность,lose
потерять,modern
современный,interior
внутренний,faith
вера,communicate
общаться,mass
массовый,weapon
оружие,number
цифра,fight
бороться,is
твой,team
команда,movement
движение,support
поддержка,THX
СПС,from
оттуда,grow
расти,theater
театр,think
подумать,grandmother
бабушка,get
попасть,real
настоящий,among
среди,die
умереть,commission
комиссия,subject
субъект,civil
гражданский,choose
выбрать,near
рядом,night
ночь,fight
воевать,smart
умный,senior
старший,act
поступать,guest
гость,book
книга,hold
держать,Expensive
дорогой,like
подобный,Chechen
чеченский,a
чуть,for
почему-то,step
шаг,Union
объединение,confident
уверенный,way
способ,take
снимать,genus
род,poor
бедный,Andrey
Андрей,much
многое,Yukos
ЮКОС,sister
сестра,current
нынешний,give
отдать,Yuri
Юрий,scientific
научный,frame
рамка,bank
банк,girl
девочка,lead
привести,start
начинаться,Dmitriy
Дмитрий,change
меняться,A
немного,essence
суть,Germany
Германия,hard
жесткий,evaluate
оценивать,Igor
Игорь,Dear
уважаемый,director
директор,radio
радио,help
помочь,promotion
акция,mass
СМИ,suit
подходить,neighbour
сосед,total
итог,yesterday
вчера,differently
по-другому,th
го,Beautiful
красивый,height
рост,Wonderful
прекрасно,have
приходиться,whatever
угодно,road
дорога,yeah
ага,Not
Нея,hope
надежда,reckon
считаться,century
век,important
важно,usually
обычно,actually
фактически,be
родиться,bush
буш,nothing
нечего,There
нету,Committee
комитет,letter
письмо,around
вокруг,morning
утро,have
прийтись,leave
уехать,red
красный,fast
быстро,interest
интересовать,advantageous
выгодный,consider
рассматривать,necessary
необходимый,list
список,compound
состав,seven
семь,kill
убивать,meeting
встреча,one
сто,campaign
кампания,address
обращаться,amendment
поправка,unite
объединять,active
активный,free
свободный,what
чего,resource
ресурс,sing
петь,text
текст,terrorist
теракт,democracy
демократия,fast
пост,NTV
НТВ,sum
сумма,try
попробовать,Peter
Пётр,meet
встречаться,respectively
соответственно,doctor
врач,ether
эфир,budgetary
бюджетный,leg
нога,former
бывший,particular
частность,alive
живой,prosecutor's
прокуратура,norm
норма,relative
родственник,comparison
сравнение,out
вон,special
особый,answer
ответить,move
ход,calmly
спокойно,ask
спросить,ordinary
обычный,employee
сотрудник,own
собственность,hand
сдавать,demand
требовать,soul
душа,treaty
договор,circle
круг,comrade
товарищ,young
девушка,provide
обеспечивать,enter
вводить,function
функция,natural
естественный,drink
пить,hit
попадать,consumption
расход,nowhere
никуда,promise
обещать,clean
чистый,management
руководство,urban
городской,build
строить,carry
нести,technique
техника,similar
похожий,consider
учитывать,product
продукт,wait
подождать,six
шесть,data
данные,character
характер,grade
оценка,children's
детский,m
м,compare
сравнивать,State
Госдума,country
дача,fate
судьба,Internet
интернет,Tatiana
Татьяна,referendum
референдум,UN
ООН,perish
погибнуть,somewhere
куда-то,note
отмечать,external
внешний,East
восток,administration
администрация,cheap
дешевый,be
присутствовать,transfer
передавать,army
войско,for
ради,Khodorkovsky
Ходорковский,interfere
мешать,mode
режим,RF
РФ,practice
практика,home
домой,discussion
обсуждение,author
автор,about
насчет,trust
доверять,dial
набрать,conclusion
вывод,terrorist
террорист,consist
состоять,version
версия,what
каков,guilty
виноватый,Eugene
Евгений,inside
внутри,There
есть,fifty
пятьдесят,Total
всего,plot
участок,repeat
повторять,scary
страшно,go
перейти,code
кодекс,take
убирать,prepare
готовить,Chechen
чеченец,relate
относить,foreign
иностранный,perspective
перспектива,It's
ясно,leave
оставить,NATO
НАТО,concert
концерт,May
май,accurate
точный,governor
губернатор,error
ошибка,item
предмет,Secondly
во-вторых,honest
честный,method
метод,rest
отдыхать,democratic
демократический,fell
упасть,bring
приносить,university
университет,source
источник,open
открывать,soon
скоро,proceed
исходить,technical
технический,perceive
воспринимать,exit
выход,Afghanistan
Афганистан,loyal
верный,worker
работник,association
ассоциация,participant
участник,echo
эхо,sleep
спать,historical
исторический,enough
хватить,minus
минус,grow
вырасти,frequent
частый,France
Франция,remind
напоминать,once
когда-то,enroll
поступить,mind
ум,finally
наконец,Chubais
Чубайс,clearly
четко,respect
уважать,necessary
необходимо,value
ценность,fast
быстрый,violate
нарушать,advocate
адвокат,So
итак,citizenship
гражданство,whose
чей,bring
принести,September
сентябрь,meeting
собрание,hardly
вряд,event
мероприятие,get
привыкнуть,Euro
евро,check
проверять,fourty
сорок,early
рано,ask
попросить,Preparation
подготовка,forgive
простить,stage
этап,understanding
понимание,door
дверь,beautiful
прекрасный,county
округ,enemy
враг,minimum
минимум,instead
вместо,open
открытый,press
пресса,operation
операция,yard
двор,from
отсюда,boy
парень,paragraph
пункт,profitable
выгодно,Khakamada
Хакамада,wear
носить,volume
объем,violation
нарушение,folk
народный,promotion
повышение,engineer
инженер,factor
фактор,base
основание,economist
экономист,despite
несмотря,thirty
тридцать,Peter
Питер,legal
правовой,party
партийный,open
открыть,initiative
инициатива,attempt
попытка,painting
картина,salesman
продавец,unity
единство,b
б,space
пространство,nation
нация,movie
кино,firm
фирма,candidacy
кандидатура,same
одинаковый,especially
особо,kill
убить,stranger
чужой,again
снова,worthy
достойный,previous
предыдущий,amnesty
амнистия,a
чуть-чуть,eight
восемь,product
товар,take
состояться,count
рассчитывать,both
оба,pursuit
стремиться,go
сходить,census
перепись,discussion
дискуссия,admit
допускать,wide
широкий,apparatus
аппарат,get
встать,standard
стандарт,Irina
Ирина,back
обратно,reaction
реакция,hero
герой,win
выиграть,edge
край,get
вставать,negotiation
переговоры,corresponding
соответствующий,spirit
дух,trend
тенденция,bring
вносить,tradition
традиция,right
щас,behavior
поведение,plant
посадить,European
европейский,concept
концепция,cross
переходить,fall
падать,chance
шанс,cute
симпатичный,Petersburg
Петербург,keep
сохранять,conduct
провести,success
успех,forward
вперед,to
войти,Studio
студия,Kharitonov
Харитонов,bring
воспитывать,Lord
господь,pair
пара,demonstration
демонстрация,reach
договориться,state
штат,number
номер,confidence
доверие,as
будто,such
такой-то,pension
победа,victory
Касьянов,Kasyanov
акт,Act
будущий,future
непонятно,unclear
категория,category
дойти,walk
успеть,be
прокурор,prosecutor
объяснить,explain
иметься,have
пускай,let
ожидать,expect
набирать,recruit
бить,beat
поднять,raise
четвертый,fourth
способный,capable
намного,much
бегать,run
Саша,Sasha
судья,judge
объект,an
память,memory
немец,German
Горбачев,Gorbachev
профессия,profession
собраться,get
продукция,products
яркий,bright
общение,communication
рождение,birth
судебный,judicial
метр,meter
дочка,daughter
кровь,blood
встречать,meet
книжка,book
актер,actor
чтение,reading
коммунистический,communist
Наташа,Natasha
ФСБ,FSB
победить,win
нигде,nowhere
вступать,join
смерть,death
таковой,such
соответствовать,correspond
поддержать,support
поменять,change
интересоваться,be
Катя,Kate
копейка,penny
немой,dumb
некоторые,some
терять,lose
пятый,fifth
