Russian,English
куда,Where
приехать,come
допустить,allow
поддерживать,support
правда,Truth
мера,measure
бывать,visit
данный,the
рука,hand
компания,company
мама,Mother
дума,thought
многий,many
американец,American
пройти,pass
вести,lead
бюджет,budget
военный,military
во-первых,Firstly
бог,God
депутат,deputy
выбор,choice
перед,before
рынок,market
менее,less
спрашивать,ask
помогать,to
месяц,month
пусть,let
угу,yes
действие,action
счет,check
скорый,ambulance
купить,buy
пример,example
смочь,be
порядок,order
средство,means
хоть,though
вместе,together
орган,organ
отвечать,reply
немножко,a
естественно,naturally
внимание,attention
цена,price
рабочий,worker
суд,court
играть,play
касаться,touch
точно,exactly
кроме,except
вроде,like
час,hour
местный,local
находиться,be
бояться,afraid
выступать,protrude
советский,Soviet
гражданин,citizen
третий,third
пытаться,try
пять,five
практически,practically
реформа,reform
что-нибудь,anything
оставаться,stay
общественный,public
сюда,here
процесс,process
регион,region
проходить,pass
становиться,become
находить,find
конкретный,specific
интересно,Interesting
ой,Ouch
пора,it's
Сергей,Sergey
выйти,go
появиться,to
мужчина,man
какой-нибудь,some
обсуждать,discuss
также,Also
трудно,difficult
средний,average
сегодняшний,today's
машина,car
наверно,maybe
готовый,ready
выходить,go
совет,advice
поехать,go
давно,for
речь,speech
единственный,the
старый,old
причина,cause
причем,and
часто,often
решить,decide
верить,believe
выбирать,choose
пенсия,pension
институт,institute
новость,news
уйти,leave
Ирак,Iraq
проект,project
скажем,say
собираться,going
граница,border
найти,find
фонд,fund
худой,thin
огромный,huge
коммунист,communist
очередь,queue
почти,almost
особенно,especially
чтоб,so
крупный,large
пенсионер,pensioner
помощь,help
учиться,study
уходить,leave
нефть,oil
прежде,before
покупать,buy
правый,right
ставить,put
будущее,future
путь,path
десять,ten
качество,quality
сей,this
ехать,drive
стоить,cost
отец,father
конкретно,specifically
четыре,four
территория,territory
богатый,rich
может,Maybe
ждать,wait
Европа,Europe
модератор,moderator
структура,structure
иногда,Sometimes
передача,broadcast
ребята,Guys
вернуться,return
форма,form
учить,learn
студент,student
песня,song
увидеть,see
откуда,where
вода,water
Иван,Ivan
предприятие,company
центр,center
говориться,say
минута,minute
наоборот,vice
борьба,struggle
никак,no
свобода,Liberty
вариант,option
примерно,approximately
степень,degree
кандидат,candidate
начаться,start
папа,dad
прямой,straight
чувство,feeling
крайний,extreme
район,area
документ,document
просить,ask
некий,some
иной,different
прочий,other
черный,black
надеяться,hope
принять,accept
факт,fact
ответ,answer
федерация,federation
состояние,state
поставить,put
устраивать,arrange
продавать,sell
наука,the
менять,change
церковь,church
постоянно,constantly
вечер,evening
прямо,directly
чувствовать,feel
кто-нибудь,anyone
добрый,Kind
ко,to
основа,the
Жириновский,Zhirinovsky
собственно,proper
обращать,convert
хватать,grab
ж,and
понятный,understandable
мировой,world
честно,Honestly
над,above
двадцать,twenty
чиновник,official
чисто,purely
тип,type
участвовать,participate
свет,light
понравиться,please
вдруг,all
ряд,row
входить,enter
масса,weight
действовать,act
США,USA
американский,American
рейтинг,rating
многие,many
видимо,apparently
период,period
страшный,scary
поговорить,talk
поднимать,lift
срок,term
конституция,constitution
короткий,short
московский,Moscow
доход,income
статья,article
мать,mother
вспомнить,recall
уметь,be
искать,search
дома,Houses
комната,room
стараться,try
курс,well
украина,Ukraine
участие,participation
опыт,experience
министр,minister
игра,a
частный,private
брат,Brother
вспоминать,recall
судить,judge
основное,basic
видно,it
министерство,ministry
сын,son
сфера,sphere
отдавать,give
понятие,concept
Че,Che
финансовый,financial
построить,build
деревня,village
имя,Name
иначе,otherwise
КПРФ,CPRF
международный,international
собирать,gather
труд,work
приводить,drive
Китай,China
недавно,recently
Виктор,Victor
ощущение,sensation
объяснять,explain
господин,mister
собственный,own
родина,motherland
Борис,Boris
течение,flow
ответственность,responsibility
потерять,lose
современный,modern
внутренний,interior
вера,faith
общаться,communicate
массовый,mass
оружие,weapon
цифра,number
бороться,fight
твой,is
команда,team
движение,movement
поддержка,support
СПС,THX
оттуда,from
расти,grow
театр,theater
подумать,think
бабушка,grandmother
попасть,get
настоящий,real
среди,among
умереть,die
комиссия,commission
субъект,subject
гражданский,civil
выбрать,choose
рядом,near
ночь,night
воевать,fight
умный,smart
старший,senior
поступать,act
гость,guest
книга,book
держать,hold
дорогой,Expensive
подобный,like
чеченский,Chechen
чуть,a
почему-то,for
шаг,step
объединение,Union
уверенный,confident
способ,way
снимать,take
род,genus
бедный,poor
Андрей,Andrey
многое,much
ЮКОС,Yukos
сестра,sister
нынешний,current
отдать,give
Юрий,Yuri
научный,scientific
рамка,frame
банк,bank
девочка,girl
привести,lead
начинаться,start
Дмитрий,Dmitriy
меняться,change
немного,A
суть,essence
Германия,Germany
жесткий,hard
оценивать,evaluate
Игорь,Igor
уважаемый,Dear
директор,director
радио,radio
помочь,help
акция,promotion
СМИ,mass
подходить,suit
сосед,neighbour
итог,total
вчера,yesterday
по-другому,differently
го,th
красивый,Beautiful
рост,height
прекрасно,Wonderful
приходиться,have
угодно,whatever
дорога,road
ага,yeah
Нея,Not
надежда,hope
считаться,reckon
век,century
важно,important
обычно,usually
фактически,actually
родиться,be
буш,bush
нечего,nothing
нету,There
комитет,Committee
письмо,letter
вокруг,around
утро,morning
прийтись,have
уехать,leave
красный,red
быстро,fast
интересовать,interest
выгодный,advantageous
рассматривать,consider
необходимый,necessary
список,list
состав,compound
семь,seven
убивать,kill
встреча,meeting
сто,one
кампания,campaign
обращаться,address
поправка,amendment
объединять,unite
активный,active
свободный,free
чего,what
ресурс,resource
петь,sing
текст,text
теракт,terrorist
демократия,democracy
пост,fast
НТВ,NTV
сумма,sum
попробовать,try
Пётр,Peter
встречаться,meet
соответственно,respectively
врач,doctor
эфир,ether
бюджетный,budgetary
нога,leg
бывший,former
частность,particular
живой,alive
прокуратура,prosecutor's
норма,norm
родственник,relative
сравнение,comparison
вон,out
особый,special
ответить,answer
ход,move
спокойно,calmly
спросить,ask
обычный,ordinary
сотрудник,employee
собственность,own
сдавать,hand
требовать,demand
душа,soul
договор,treaty
круг,circle
товарищ,comrade
девушка,young
обеспечивать,provide
вводить,enter
функция,function
естественный,natural
пить,drink
попадать,hit
расход,consumption
никуда,nowhere
обещать,promise
чистый,clean
руководство,management
городской,urban
строить,build
нести,carry
техника,technique
похожий,similar
учитывать,consider
продукт,product
подождать,wait
шесть,six
данные,data
характер,character
оценка,grade
детский,children's
м,m
сравнивать,compare
Госдума,State
дача,country
судьба,fate
интернет,Internet
Татьяна,Tatiana
референдум,referendum
ООН,UN
погибнуть,perish
куда-то,somewhere
отмечать,note
внешний,external
восток,East
администрация,administration
дешевый,cheap
присутствовать,be
передавать,transfer
войско,army
ради,for
Ходорковский,Khodorkovsky
мешать,interfere
режим,mode
РФ,RF
практика,practice
домой,home
обсуждение,discussion
автор,author
насчет,about
доверять,trust
набрать,dial
вывод,conclusion
террорист,terrorist
состоять,consist
версия,version
каков,what
виноватый,guilty
Евгений,Eugene
внутри,inside
есть,There
пятьдесят,fifty
всего,Total
участок,plot
повторять,repeat
страшно,scary
перейти,go
кодекс,code
убирать,take
готовить,prepare
чеченец,Chechen
относить,relate
иностранный,foreign
перспектива,perspective
ясно,It's
оставить,leave
НАТО,NATO
концерт,concert
май,May
точный,accurate
губернатор,governor
ошибка,error
предмет,item
во-вторых,Secondly
честный,honest
метод,method
отдыхать,rest
демократический,democratic
упасть,fell
приносить,bring
университет,university
источник,source
открывать,open
скоро,soon
исходить,proceed
технический,technical
воспринимать,perceive
выход,exit
Афганистан,Afghanistan
верный,loyal
работник,worker
ассоциация,association
участник,participant
эхо,echo
спать,sleep
исторический,historical
хватить,enough
минус,minus
вырасти,grow
частый,frequent
Франция,France
напоминать,remind
когда-то,once
поступить,enroll
ум,mind
наконец,finally
Чубайс,Chubais
четко,clearly
предвыборный,pre-election
удаться,succeed
уважать,respect
необходимо,necessary
ценность,value
быстрый,fast
нарушать,violate
адвокат,advocate
итак,So
гражданство,citizenship
чей,whose
принести,bring
сентябрь,September
собрание,meeting
вряд,hardly
мероприятие,event
привыкнуть,get
евро,Euro
проверять,check
сорок,fourty
рано,early
попросить,ask
подготовка,Preparation
простить,forgive
этап,stage
понимание,understanding
дверь,door
прекрасный,beautiful
округ,county
враг,enemy
минимум,minimum
вместо,instead
открытый,open
пресса,press
операция,operation
двор,yard
отсюда,from
парень,boy
пункт,paragraph
выгодно,profitable
Хакамада,Khakamada
носить,wear
объем,volume
нарушение,violation
народный,folk
повышение,promotion
инженер,engineer
фактор,factor
основание,base
экономист,economist
несмотря,despite
тридцать,thirty
эффективный,effective
Питер,Peter
правовой,legal
партийный,party
дочь,daughter
открыть,open
инициатива,initiative
попытка,attempt
картина,painting
продавец,salesman
единство,unity
б,b
пространство,space
нация,nation
кино,movie
подход,an
фирма,firm
кандидатура,candidacy
одинаковый,same
особо,especially
убить,kill
чужой,stranger
снова,again
достойный,worthy
предыдущий,previous
амнистия,amnesty
чуть-чуть,a
восемь,eight
товар,product
состояться,take
рассчитывать,count
оба,both
стремиться,pursuit
сходить,go
перепись,census
дискуссия,discussion
допускать,admit
широкий,wide
аппарат,apparatus
встать,get
стандарт,standard
Ирина,Irina
обратно,back
реакция,reaction
герой,hero
выиграть,win
край,edge
вставать,get
переговоры,negotiation
соответствующий,corresponding
дух,spirit
тенденция,trend
вносить,bring
традиция,tradition
щас,right
поведение,behavior
посадить,plant
европейский,European
концепция,concept
переходить,cross
падать,fall
шанс,chance
симпатичный,cute
Петербург,Petersburg
сохранять,keep
провести,conduct
успех,success
вперед,forward
войти,to
студия,Studio
Харитонов,Kharitonov
воспитывать,bring
господь,Lord
пара,pair
демонстрация,demonstration
договориться,reach
штат,state
номер,number
доверие,confidence
будто,as
такой-то,such
пенсионный,pension
победа,victory
Касьянов,Kasyanov
акт,Act
будущий,future
непонятно,unclear
категория,category
дойти,walk
успеть,be
прокурор,prosecutor
объяснить,explain
иметься,have
пускай,let
ожидать,expect
набирать,recruit
бить,beat
поднять,raise
четвертый,fourth
способный,capable
намного,much
бегать,run
Саша,Sasha
судья,judge
объект,an
память,memory
немец,German
Горбачев,Gorbachev
профессия,profession
собраться,get
продукция,products
яркий,bright
общение,communication
рождение,birth
судебный,judicial
метр,meter
дочка,daughter
кровь,blood
встречать,meet
книжка,book
актер,actor
чтение,reading
коммунистический,communist
Наташа,Natasha
ФСБ,FSB
победить,win
нигде,nowhere
вступать,join
смерть,death
таковой,such
соответствовать,correspond
поддержать,support
поменять,change
интересоваться,be
Катя,Kate
копейка,penny
немой,dumb
некоторые,some
терять,lose
пятый,fifth
